Application,Name,Value,Description,Identity
App0,AppName 0,Access0,AccessDescription0,User0000
App0,AppName 0,Access1,AccessDescription1,User0000
App0,AppName 0,Access2,AccessDescription2,User0000
App0,AppName 0,Access3,,User0000
App0,AppName 0,Access4,AccessDescription4,User0000
App0,AppName 0,Access5,AccessDescription5,User0000
App0,AppName 0,Access6,AccessDescription6,User0000
App0,AppName 0,Access7,AccessDescription7,User0000
App0,AppName 0,Access8,AccessDescription8,User0000
App0,AppName 0,Access9,AccessDescription9,User0000
App0,AppName 0,Access10,AccessDescription10,User0000
App0,AppName 0,Access11,AccessDescription11,User0000
App0,AppName 0,Access12,AccessDescription12,User0000
App0,AppName 0,Access13,AccessDescription13,User0000
App0,AppName 0,Access14,AccessDescription14,User0000
App0,AppName 0,Access15,AccessDescription15,User0000
App0,AppName 0,Access16,AccessDescription16,User0000
App0,AppName 0,Access17,AccessDescription17,User0000
App0,AppName 0,Access18,AccessDescription18,User0000
App0,AppName 0,Access19,AccessDescription19,User0000
App0,AppName 0,Access20,AccessDescription20,User0000
App0,AppName 0,Access21,AccessDescription21,User0000
App0,AppName 0,Access22,AccessDescription22,User0000
App0,AppName 0,Access23,AccessDescription23,User0000
App0,AppName 0,Access24,AccessDescription24,User0000
App0,AppName 0,Access25,AccessDescription25,User0000
App0,AppName 0,Access26,AccessDescription26,User0000
App0,AppName 0,Access41,AccessDescription41,User0000
App0,AppName 0,Access53,,User0000
App0,AppName 0,Access76,AccessDescription68,User0000
App0,AppName 0,Access85,,User0000
App2,AppName 3,Access1050,,User0000
App3,AppName 4,Access1129,,User0000
App3,AppName 4,Access1130,,User0000
App3,AppName 5,Access1131,,User0000
App3,AppName 5,Access1132,,User0000
App3,AppName 5,Access1133,,User0000
App3,AppName 5,Access1134,,User0000
App3,AppName 5,Access1135,,User0000
App3,AppName 5,Access1136,,User0000
App3,AppName 5,Access1137,,User0000
App3,AppName 5,Access1138,,User0000
App3,AppName 5,Access1139,,User0000
App3,AppName 5,Access1140,,User0000
App3,AppName 5,Access1141,,User0000
App3,AppName 5,Access1142,,User0000
App3,AppName 5,Access1143,,User0000
App3,AppName 5,Access1144,,User0000
App3,AppName 5,Access1145,,User0000
App3,AppName 5,Access1146,,User0000
App3,AppName 5,Access1147,,User0000
App3,AppName 5,Access1148,,User0000
App3,AppName 5,Access1149,,User0000
App3,AppName 5,Access1150,,User0000
App3,AppName 5,Access1151,,User0000
App3,AppName 5,Access1152,,User0000
App3,AppName 5,Access1153,,User0000
App3,AppName 5,Access1154,,User0000
App9,AppName 11,Access1214,,User0000
AppManager,AppName Manager,ManagerAccess0,ManagerAccess,User0000
AppManager,AppName Manager,ManagerAccess1,ManagerAccess,User0000
AppManager,AppName Manager,ManagerAccess2,ManagerAccess,User0000
App0,AppName 0,Access0,AccessDescription0,User0001
App0,AppName 0,Access1,AccessDescription1,User0001
App0,AppName 0,Access3,,User0001
App0,AppName 0,Access4,AccessDescription4,User0001
App0,AppName 0,Access5,AccessDescription5,User0001
App0,AppName 0,Access6,AccessDescription6,User0001
App0,AppName 0,Access7,AccessDescription7,User0001
App0,AppName 0,Access8,AccessDescription8,User0001
App0,AppName 0,Access9,AccessDescription9,User0001
App0,AppName 0,Access10,AccessDescription10,User0001
App0,AppName 0,Access11,AccessDescription11,User0001
App0,AppName 0,Access12,AccessDescription12,User0001
App0,AppName 0,Access13,AccessDescription13,User0001
App0,AppName 0,Access14,AccessDescription14,User0001
App0,AppName 0,Access15,AccessDescription15,User0001
App0,AppName 0,Access16,AccessDescription16,User0001
App0,AppName 0,Access17,AccessDescription17,User0001
App0,AppName 0,Access18,AccessDescription18,User0001
App0,AppName 0,Access19,AccessDescription19,User0001
App0,AppName 0,Access20,AccessDescription20,User0001
App0,AppName 0,Access21,AccessDescription21,User0001
App0,AppName 0,Access22,AccessDescription22,User0001
App0,AppName 0,Access23,AccessDescription23,User0001
