Department,Department ID,Display Name,Functional Division,Functional Division ID,Group Division,Group Division ID,Job Code,Job Profile,Management Level,Manager,Position Description Long,Position Number,Username,Role division
Department1,DepartmentID1,Alex178,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID2,JobDescription2,SeniorLevel0,Manager3,PositionDescription5,PositionNumber178,User0000,RoleDivision2
Department0,DepartmentID0,Alex1121,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID0,JobDescription0,SeniorLevel0,Manager0,PositionDescription0,PositionNumber1121,User0001,RoleDivision0
Department1,DepartmentID1,Alex679,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID2,JobDescription2,SeniorLevel0,Manager10,PositionDescription5,PositionNumber679,User0002,RoleDivision2
Department4,DepartmentID4,Alex1238,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID6,JobDescription6,SeniorLevel1,Manager2,PositionDescription6,PositionNumber1238,User0003,RoleDivision4
Department0,DepartmentID0,Alex1040,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID0,JobDescription0,SeniorLevel0,Manager13,PositionDescription0,PositionNumber1040,User0004,RoleDivision0
Department0,DepartmentID0,Alex923,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID0,JobDescription0,SeniorLevel0,Manager8,PositionDescription0,PositionNumber923,User0005,RoleDivision0
Department0,DepartmentID0,Alex200,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID9,JobDescription9,SeniorLevel0,Manager0,PositionDescription18,PositionNumber200,User0006,RoleDivision1
Department1,DepartmentID1,Alex271,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID2,JobDescription2,SeniorLevel0,Manager10,PositionDescription1,PositionNumber271,User0007,RoleDivision2
NewJoiner,NewJoiner,Alex975,NewJoiner,NewJoiner,NewJoiner,NewJoiner,NewJoiner,NewJoiner,NewJoiner,NewJoiner,NewJoiner,NewJoiner,User0008,NewJoiner
Department1,DepartmentID1,Alex1243,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID6,JobDescription6,SeniorLevel1,Manager10,PositionDescription6,PositionNumber1243,User0009,RoleDivision4
Department0,DepartmentID0,Alex321,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID9,JobDescription9,SeniorLevel0,Manager0,PositionDescription18,PositionNumber321,User0010,RoleDivision1
Department1,DepartmentID1,Alex735,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID6,JobDescription6,SeniorLevel1,Manager9,PositionDescription6,PositionNumber735,User0011,RoleDivision4
Department1,DepartmentID1,Alex788,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID2,JobDescription2,SeniorLevel0,Manager10,PositionDescription5,PositionNumber788,User0012,RoleDivision2
Department1,DepartmentID1,Alex945,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID2,JobDescription2,SeniorLevel0,Manager4,PositionDescription5,PositionNumber945,User0013,RoleDivision2
Department0,DepartmentID0,Alex911,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID5,JobDescription5,SeniorLevel1,Manager12,PositionDescription10,PositionNumber911,User0014,RoleDivision0
Department1,DepartmentID1,Alex160,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID2,JobDescription2,SeniorLevel0,Manager4,PositionDescription5,PositionNumber160,User0015,RoleDivision2
Department1,DepartmentID1,Alex1206,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID2,JobDescription2,SeniorLevel0,Manager2,PositionDescription1,PositionNumber1206,User0016,RoleDivision2
Department1,DepartmentID1,Alex939,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID2,JobDescription2,SeniorLevel0,Manager3,PositionDescription5,PositionNumber939,User0017,RoleDivision2
Department0,DepartmentID0,Alex147,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID9,JobDescription9,SeniorLevel0,Manager12,PositionDescription1,PositionNumber147,User0018,RoleDivision1
Department0,DepartmentID0,Alex1198,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID5,JobDescription5,SeniorLevel1,Manager0,PositionDescription10,PositionNumber1198,User0019,RoleDivision0
Department0,DepartmentID0,Alex346,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID9,JobDescription9,SeniorLevel0,Manager7,PositionDescription18,PositionNumber346,User0020,RoleDivision1
Department1,DepartmentID1,Alex43,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID2,JobDescription2,SeniorLevel0,Manager9,PositionDescription5,PositionNumber43,User0021,RoleDivision2
Department1,DepartmentID1,Alex704,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID2,JobDescription2,SeniorLevel0,Manager4,PositionDescription5,PositionNumber704,User0022,RoleDivision2
Department1,DepartmentID1,Alex182,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID2,JobDescription2,SeniorLevel0,Manager10,PositionDescription5,PositionNumber182,User0023,RoleDivision2
Department1,DepartmentID1,Alex792,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID2,JobDescription2,SeniorLevel0,Manager10,PositionDescription5,PositionNumber792,User0024,RoleDivision2
Department1,DepartmentID1,Alex637,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID2,JobDescription2,SeniorLevel0,Manager10,PositionDescription5,PositionNumber637,User0025,RoleDivision2
Department7,DepartmentID7,Alex533,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID13,JobDescription13,SeniorLevel0,Manager1,PositionDescription23,PositionNumber533,User0026,RoleDivision0
Department3,DepartmentID3,Alex559,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID4,JobDescription4,SeniorLevel2,Manager4,PositionDescription3,PositionNumber559,User0027,RoleDivision4
Department0,DepartmentID0,Alex960,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID9,JobDescription9,SeniorLevel0,Manager7,PositionDescription16,PositionNumber960,User0028,RoleDivision1
Department1,DepartmentID1,Alex551,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID2,JobDescription2,SeniorLevel0,Manager4,PositionDescription5,PositionNumber551,User0029,RoleDivision2
Department0,DepartmentID0,Alex61,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID1,JobDescription1,SeniorLevel0,Manager1,PositionDescription1,PositionNumber61,User0030,RoleDivision1
Department0,DepartmentID0,Alex1039,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID9,JobDescription9,SeniorLevel0,Manager0,PositionDescription18,PositionNumber1039,User0031,RoleDivision1
Department1,DepartmentID1,Alex1031,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID2,JobDescription2,SeniorLevel0,Manager9,PositionDescription5,PositionNumber1031,User0032,RoleDivision2
Department1,DepartmentID1,Alex217,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID2,JobDescription2,SeniorLevel0,Manager3,PositionDescription1,PositionNumber217,User0033,RoleDivision2
Department0,DepartmentID0,Alex961,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID9,JobDescription9,SeniorLevel0,Manager0,PositionDescription13,PositionNumber961,User0034,RoleDivision1
Department1,DepartmentID1,Alex540,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID2,JobDescription2,SeniorLevel0,Manager3,PositionDescription5,PositionNumber540,User0035,RoleDivision2
Department3,DepartmentID3,Alex500,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID4,JobDescription4,SeniorLevel2,Manager3,PositionDescription3,PositionNumber500,User0036,RoleDivision4
Department1,DepartmentID1,Alex1236,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID2,JobDescription2,SeniorLevel0,Manager2,PositionDescription5,PositionNumber1236,User0037,RoleDivision2
Department1,DepartmentID1,Alex581,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID2,JobDescription2,SeniorLevel0,Manager4,PositionDescription5,PositionNumber581,User0038,RoleDivision2
Department3,DepartmentID3,Alex496,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID4,JobDescription4,SeniorLevel2,Manager3,PositionDescription3,PositionNumber496,User0039,RoleDivision4
Department0,DepartmentID0,Alex17,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID5,JobDescription5,SeniorLevel1,Manager0,PositionDescription4,PositionNumber17,User0040,RoleDivision0
Department0,DepartmentID0,Alex922,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID5,JobDescription5,SeniorLevel1,Manager0,PositionDescription29,PositionNumber922,User0041,RoleDivision0
Department1,DepartmentID1,Alex801,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID2,JobDescription2,SeniorLevel0,Manager10,PositionDescription5,PositionNumber801,User0042,RoleDivision2
Department0,DepartmentID0,Alex77,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID0,JobDescription0,SeniorLevel0,Manager8,PositionDescription15,PositionNumber77,User0043,RoleDivision0
Department0,DepartmentID0,Alex29,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID5,JobDescription5,SeniorLevel1,Manager0,PositionDescription4,PositionNumber29,User0044,RoleDivision0
Department0,DepartmentID0,Alex34,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID5,JobDescription5,SeniorLevel1,Manager7,PositionDescription10,PositionNumber34,User0045,RoleDivision0
Department0,DepartmentID0,Alex53,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID1,JobDescription1,SeniorLevel0,Manager7,PositionDescription1,PositionNumber53,User0046,RoleDivision1
Department1,DepartmentID1,Alex130,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID2,JobDescription2,SeniorLevel0,Manager3,PositionDescription5,PositionNumber130,User0047,RoleDivision2
