Department,Department ID,Display Name,Function,Function ID,Group,Group ID,Job,Job Profile,Management Level,Manager,Position,Position ID,Username,Role
Department1,DepartmentID1,Alex178,Function0,FunctionID0,Group0,GroupID0,JobID2,JobDescription2,SeniorLevel1,Manager2,Position5,PositionID178,User0000,Role2
Department0,DepartmentID0,Alex1121,Function0,FunctionID0,Group0,GroupID0,JobID0,JobDescription0,SeniorLevel0,Manager0,Position0,PositionID1121,User0001,Role0
Department1,DepartmentID1,Alex679,Function0,FunctionID0,Group0,GroupID0,JobID2,JobDescription2,SeniorLevel0,Manager10,Position5,PositionID679,User0002,Role2
Department4,DepartmentID4,Alex1238,Function0,FunctionID0,Group0,GroupID0,JobID6,JobDescription6,SeniorLevel1,Manager2,Position6,PositionID1238,User0003,Role4
Department0,DepartmentID0,Alex1040,Function0,FunctionID0,Group0,GroupID0,JobID0,JobDescription0,SeniorLevel0,Manager13,Position0,PositionID1040,User0004,Role0
Department0,DepartmentID0,Alex923,Function0,FunctionID0,Group0,GroupID0,JobID0,JobDescription0,SeniorLevel0,Manager8,Position0,PositionID923,User0005,Role0
Department0,DepartmentID0,Alex200,Function0,FunctionID0,Group0,GroupID0,JobID9,JobDescription9,SeniorLevel0,Manager0,Position18,PositionID200,User0006,Role1
Department1,DepartmentID1,Alex271,Function0,FunctionID0,Group0,GroupID0,JobID2,JobDescription2,SeniorLevel0,Manager10,Position1,PositionID271,User0007,Role2
Department1,DepartmentID1,Alex975,Function0,FunctionID0,Group0,GroupID0,JobID6,JobDescription6,SeniorLevel1,Manager9,Position6,PositionID975,User0008,Role4
Department1,DepartmentID1,Alex1243,Function0,FunctionID0,Group0,GroupID0,JobID6,JobDescription6,SeniorLevel1,Manager10,Position6,PositionID1243,User0009,Role4
Department0,DepartmentID0,Alex321,Function0,FunctionID0,Group0,GroupID0,JobID9,JobDescription9,SeniorLevel0,Manager0,Position18,PositionID321,User0010,Role1
