Application,Name,Value,Description,Role division
App0,AppName 0,Access0,AccessDescription0,RoleDivision1
App0,AppName 0,Access1,AccessDescription1,RoleDivision1
App0,AppName 0,Access2,AccessDescription2,RoleDivision1
App0,AppName 0,Access3,,RoleDivision1
App0,AppName 0,Access4,AccessDescription4,RoleDivision1
App0,AppName 0,Access5,AccessDescription5,RoleDivision1
App0,AppName 0,Access6,AccessDescription6,RoleDivision1
App0,AppName 0,Access7,AccessDescription7,RoleDivision1
App0,AppName 0,Access8,AccessDescription8,RoleDivision1
App0,AppName 0,Access9,AccessDescription9,RoleDivision1
App0,AppName 0,Access10,AccessDescription10,RoleDivision1
App0,AppName 0,Access11,AccessDescription11,RoleDivision1
App0,AppName 0,Access12,AccessDescription12,RoleDivision1
App0,AppName 0,Access13,AccessDescription13,RoleDivision1
App0,AppName 0,Access14,AccessDescription14,RoleDivision1
App0,AppName 0,Access15,AccessDescription15,RoleDivision1
App0,AppName 0,Access16,AccessDescription16,RoleDivision1
App0,AppName 0,Access17,AccessDescription17,RoleDivision1
App0,AppName 0,Access18,AccessDescription18,RoleDivision1
App0,AppName 0,Access19,AccessDescription19,RoleDivision1
App0,AppName 0,Access20,AccessDescription20,RoleDivision1
App0,AppName 0,Access21,AccessDescription21,RoleDivision1
App0,AppName 0,Access22,AccessDescription22,RoleDivision1
App0,AppName 0,Access23,AccessDescription23,RoleDivision1
App0,AppName 0,Access24,AccessDescription24,RoleDivision1
App0,AppName 0,Access25,AccessDescription25,RoleDivision1
App0,AppName 0,Access26,AccessDescription26,RoleDivision1
App0,AppName 0,Access27,AccessDescription27,RoleDivision1
App0,AppName 0,Access28,AccessDescription28,RoleDivision1
App0,AppName 0,Access29,AccessDescription29,RoleDivision1
App0,AppName 0,Access30,AccessDescription30,RoleDivision1
App0,AppName 0,Access31,AccessDescription31,RoleDivision1
App0,AppName 0,Access32,AccessDescription32,RoleDivision1
App0,AppName 0,Access33,AccessDescription33,RoleDivision1
App0,AppName 0,Access34,AccessDescription34,RoleDivision1
App0,AppName 0,Access35,AccessDescription35,RoleDivision1
App0,AppName 0,Access36,AccessDescription36,RoleDivision1
App0,AppName 0,Access37,AccessDescription37,RoleDivision1
App0,AppName 0,Access38,AccessDescription38,RoleDivision1
App0,AppName 0,Access39,AccessDescription39,RoleDivision1
App0,AppName 0,Access40,AccessDescription40,RoleDivision1
App0,AppName 0,Access41,AccessDescription41,RoleDivision1
App0,AppName 0,Access42,AccessDescription42,RoleDivision1
App0,AppName 0,Access43,,RoleDivision1
App0,AppName 0,Access44,AccessDescription43,RoleDivision1
App0,AppName 0,Access45,AccessDescription44,RoleDivision1
App0,AppName 0,Access46,AccessDescription45,RoleDivision1
App0,AppName 0,Access47,AccessDescription46,RoleDivision1
App0,AppName 0,Access49,AccessDescription48,RoleDivision1
App0,AppName 0,Access50,,RoleDivision1
App0,AppName 0,Access51,,RoleDivision1
App0,AppName 0,Access52,AccessDescription49,RoleDivision1
App0,AppName 0,Access53,,RoleDivision1
App0,AppName 0,Access54,AccessDescription50,RoleDivision1
App0,AppName 0,Access56,AccessDescription52,RoleDivision1
App0,AppName 0,Access61,AccessDescription56,RoleDivision1
App0,AppName 0,Access72,AccessDescription65,RoleDivision1
App0,AppName 0,Access86,,RoleDivision1
App0,AppName 0,Access98,AccessDescription80,RoleDivision1
App0,AppName 0,Access120,AccessDescription95,RoleDivision1
App0,AppName 0,Access220,AccessDescription161,RoleDivision1
App2,AppName 3,Access1050,,RoleDivision1
App3,AppName 4,Access1129,,RoleDivision1
App3,AppName 4,Access1130,,RoleDivision1
App3,AppName 5,Access1131,,RoleDivision1
App3,AppName 5,Access1132,,RoleDivision1
App3,AppName 5,Access1133,,RoleDivision1
App3,AppName 5,Access1134,,RoleDivision1
App3,AppName 5,Access1135,,RoleDivision1
App3,AppName 5,Access1136,,RoleDivision1
App3,AppName 5,Access1137,,RoleDivision1
App3,AppName 5,Access1138,,RoleDivision1
App3,AppName 5,Access1139,,RoleDivision1
App3,AppName 5,Access1140,,RoleDivision1
App3,AppName 5,Access1141,,RoleDivision1
App3,AppName 5,Access1142,,RoleDivision1
App3,AppName 5,Access1143,,RoleDivision1
App3,AppName 5,Access1144,,RoleDivision1
App3,AppName 5,Access1145,,RoleDivision1
App3,AppName 5,Access1146,,RoleDivision1
App3,AppName 5,Access1147,,RoleDivision1
App3,AppName 5,Access1148,,RoleDivision1
App3,AppName 5,Access1149,,RoleDivision1
App3,AppName 5,Access1150,,RoleDivision1
App3,AppName 5,Access1151,,RoleDivision1
App3,AppName 5,Access1152,,RoleDivision1
App3,AppName 5,Access1153,,RoleDivision1
App0,AppName 0,Access0,AccessDescription0,RoleDivision2
App0,AppName 0,Access1,AccessDescription1,RoleDivision2
App0,AppName 0,Access2,AccessDescription2,RoleDivision2
App0,AppName 0,Access3,,RoleDivision2
App0,AppName 0,Access4,AccessDescription4,RoleDivision2
