AD DisplayName,Assigned Roles,Department,Department ID,Detected Roles,Functional Division,Functional Division ID,Group Division,Group Division ID,Job Code,Job Profile,Management Level,Manager,POI Type Code,POI Type Description,Position Description Long,Squad ID,Squad Name,Username
AD DisplayName 0,Assigned Roles 0,Department 0,Department ID 0,Detected Roles 0,Functional Division 0,Functional Division ID 0,Group Division 0,Group Division ID 0,Job Code 0,Job Profile 0,Management Level 0,Manager 0,POI Type Code 0,POI Type Description 0,Position Description Long 0,Squad ID 0,Squad Name 0,5605bbc5
AD DisplayName 1,Assigned Roles 1,Department 1,Department ID 1,Detected Roles 1,Functional Division 1,Functional Division ID 1,Group Division 0,Group Division ID 0,Job Code 1,Job Profile 1,Management Level 1,Manager 1,POI Type Code 1,POI Type Description 1,Position Description Long 1,Squad ID 0,Squad Name 0,af3cf379
AD DisplayName 2,Assigned Roles 1,Department 1,Department ID 1,Detected Roles 1,Functional Division 1,Functional Division ID 1,Group Division 0,Group Division ID 0,Job Code 1,Job Profile 1,Management Level 1,Manager 1,POI Type Code 1,POI Type Description 1,Position Description Long 1,Squad ID 0,Squad Name 0,fcc1f951
AD DisplayName 3,Assigned Roles 2,Department 1,Department ID 1,Detected Roles 2,Functional Division 1,Functional Division ID 1,Group Division 0,Group Division ID 0,Job Code 1,Job Profile 1,Management Level 1,Manager 1,POI Type Code 1,POI Type Description 1,Position Description Long 1,Squad ID 0,Squad Name 0,10768682
AD DisplayName 4,Assigned Roles 2,Department 1,Department ID 1,Detected Roles 2,Functional Division 1,Functional Division ID 1,Group Division 0,Group Division ID 0,Job Code 1,Job Profile 1,Management Level 1,Manager 1,POI Type Code 1,POI Type Description 1,Position Description Long 1,Squad ID 0,Squad Name 0,5dc0ef0d
AD DisplayName 5,Assigned Roles 3,Department 1,Department ID 1,Detected Roles 3,Functional Division 1,Functional Division ID 1,Group Division 0,Group Division ID 0,Job Code 1,Job Profile 1,Management Level 1,Manager 1,POI Type Code 1,POI Type Description 1,Position Description Long 1,Squad ID 0,Squad Name 0,c010d0dc
AD DisplayName 6,Assigned Roles 4,Department 2,Department ID 2,Detected Roles 4,Functional Division 2,Functional Division ID 2,Group Division 0,Group Division ID 0,Job Code 2,Job Profile 2,Management Level 2,Manager 2,POI Type Code 0,POI Type Description 0,Position Description Long 2,Squad ID 0,Squad Name 0,3d3ac11b
AD DisplayName 7,Assigned Roles 5,Department 2,Department ID 2,Detected Roles 5,Functional Division 2,Functional Division ID 2,Group Division 0,Group Division ID 0,Job Code 1,Job Profile 1,Management Level 1,Manager 3,POI Type Code 1,POI Type Description 1,Position Description Long 1,Squad ID 0,Squad Name 0,f904debe
AD DisplayName 8,Assigned Roles 6,Department 2,Department ID 2,Detected Roles 6,Functional Division 2,Functional Division ID 2,Group Division 0,Group Division ID 0,Job Code 1,Job Profile 1,Management Level 1,Manager 3,POI Type Code 1,POI Type Description 1,Position Description Long 3,Squad ID 0,Squad Name 0,768c697e
AD DisplayName 9,Assigned Roles 6,Department 2,Department ID 2,Detected Roles 6,Functional Division 2,Functional Division ID 2,Group Division 0,Group Division ID 0,Job Code 1,Job Profile 1,Management Level 1,Manager 3,POI Type Code 1,POI Type Description 1,Position Description Long 3,Squad ID 0,Squad Name 0,fdf7ccc7
AD DisplayName 10,Assigned Roles 6,Department 2,Department ID 2,Detected Roles 6,Functional Division 2,Functional Division ID 2,Group Division 0,Group Division ID 0,Job Code 1,Job Profile 1,Management Level 1,Manager 3,POI Type Code 1,POI Type Description 1,Position Description Long 3,Squad ID 0,Squad Name 0,7e5a8719
