,__Dim0,__Dim1,__Dim2,Identity,_DateTime,Sum of permissions
0,-4.674204553872529,-12.41022841192874,9.331652375875263,User0000,1659524400,59
1,-4.674204553872523,-12.410228411928733,9.33165237587526,User0000,1659610800,59
2,-4.674204553872525,-12.410228411928738,9.331652375875262,User0000,1659697200,59
3,-4.6742045538725225,-12.410228411928735,9.331652375875265,User0000,1659783600,59
4,-0.8906412971253496,-4.6977879603294195,-5.8650906631586235,User0001,1659524400,99
5,-0.8906412971253497,-4.6977879603294195,-5.865090663158621,User0001,1659610800,99
6,-0.8906412971253452,-4.6977879603294195,-5.865090663158622,User0001,1659697200,99
7,-0.8906412971253452,-4.697787960329416,-5.8650906631586235,User0001,1659783600,99
8,-11.026953427189028,-5.4965620317904555,-4.339630332656823,User0002,1659524400,89
9,-11.026953427189028,-5.496562031790457,-4.339630332656823,User0002,1659610800,89
10,-11.026953427189035,-5.496562031790458,-4.339630332656822,User0002,1659697200,89
11,-11.026953427189035,-5.496562031790457,-4.339630332656823,User0002,1659783600,89
12,-2.6598245779514165,-4.457560387138213,-7.290789478816103,User0003,1659524400,111
13,-2.6598245779514107,-4.457560387138213,-7.290789478816103,User0003,1659610800,111
14,-2.659824577951413,-4.457560387138213,-7.290789478816102,User0003,1659697200,111
15,-2.6598245779514134,-4.457560387138217,-7.290789478816101,User0003,1659783600,111
16,-4.814964266980697,-4.779880180787449,-7.261788116445765,User0004,1659524400,103
17,-4.814964266980698,-4.77988018078745,-7.261788116445766,User0004,1659610800,103
18,-4.814964266980697,-4.77988018078745,-7.26178811644577,User0004,1659697200,103
19,-4.814964266980694,-4.7798801807874485,-7.261788116445768,User0004,1659783600,103
20,-2.628252352847945,-5.208650234714245,-7.049038625675311,User0005,1659524400,103
21,-2.628252352847946,-5.208650234714248,-7.049038625675314,User0005,1659610800,103
22,-2.628252352847944,-5.208650234714248,-7.049038625675312,User0005,1659697200,103
23,-2.6282523528479476,-5.2086502347142485,-7.04903862567531,User0005,1659783600,103
24,-10.53101698516904,-6.9106194298193095,-3.888462859981045,User0006,1659524400,79
25,-10.53101698516904,-6.910619429819311,-3.8884628599810482,User0006,1659610800,79
26,-10.531016985169037,-6.9106194298193095,-3.888462859981046,User0006,1659697200,79
27,-10.531016985169037,-6.9106194298193095,-3.8884628599810482,User0006,1659783600,79
28,-4.7973648396508715,-12.8991776763892,9.212512813791239,User0007,1659524400,60
29,-4.7973648396508715,-12.8991776763892,9.212512813791244,User0007,1659610800,60
30,-4.7973648396508715,-12.8991776763892,9.21251281379124,User0007,1659697200,60
31,-4.797364839650875,-12.899177676389204,9.212512813791244,User0007,1659783600,60
32,29.088009604488825,-5.3819200088268,-5.2792633403601315,User0008,1659524400,107
33,29.08800960448883,-5.3819200088268015,-5.27926334036013,User0008,1659610800,107
34,29.08800960448884,-5.381920008826801,-5.279263340360126,User0008,1659697200,107
35,29.088009604488832,-5.3819200088268,-5.279263340360128,User0008,1659783600,107
36,-3.370988551649865,-8.52021599412498,-4.034844051053707,User0009,1659524400,91
37,-3.370988551649863,-8.520215994124978,-4.034844051053708,User0009,1659610800,91
38,-3.3709885516498637,-8.520215994124976,-4.034844051053705,User0009,1659697200,91
39,-3.3709885516498637,-8.520215994124978,-4.034844051053708,User0009,1659783600,91
40,-8.672639734636025,-6.71125366629018,-3.5755977280290496,User0010,1659524400,82
41,-8.672639734636023,-6.711253666290178,-3.5755977280290505,User0010,1659610800,82
42,-8.672639734636027,-6.711253666290179,-3.5755977280290496,User0010,1659697200,82
43,-8.672639734636029,-6.71125366629018,-3.5755977280290496,User0010,1659783600,82
44,-5.242677961300464,-7.32577785853062,-5.974297417518242,User0011,1659524400,98
45,-5.242677961300466,-7.325777858530618,-5.974297417518243,User0011,1659610800,98
46,-5.242677961300463,-7.325777858530618,-5.974297417518245,User0011,1659697200,98
47,-5.242677961300463,-7.3257778585306195,-5.974297417518246,User0011,1659783600,98
48,-10.9793930463137,-5.8123233597197475,-3.7957817959699245,User0012,1659524400,89
49,-10.979393046313703,-5.812323359719752,-3.7957817959699276,User0012,1659610800,89
50,-10.9793930463137,-5.812323359719748,-3.7957817959699276,User0012,1659697200,89
51,-10.979393046313696,-5.812323359719751,-3.7957817959699267,User0012,1659783600,89
52,-11.962603759337487,-7.778251102636962,-3.2555828672350478,User0013,1659524400,81
53,-11.962603759337485,-7.778251102636958,-3.255582867235047,User0013,1659610800,81
54,-11.962603759337489,-7.778251102636962,-3.255582867235048,User0013,1659697200,81
55,-11.962603759337487,-7.778251102636962,-3.2555828672350478,User0013,1659783600,81
56,0.6149083379390459,-6.218520170751866,-4.913059100240024,User0014,1659524400,95
57,0.6149083379390469,-6.218520170751864,-4.913059100240025,User0014,1659610800,95
58,0.6149083379390466,-6.218520170751866,-4.913059100240023,User0014,1659697200,95
59,0.6149083379390428,-6.218520170751866,-4.913059100240024,User0014,1659783600,95
60,-5.131545303939366,-12.669566221448685,8.94050091382479,User0015,1659524400,59
61,-5.131545303939369,-12.669566221448687,8.940500913824792,User0015,1659610800,59
62,-5.131545303939366,-12.669566221448685,8.940500913824794,User0015,1659697200,59
63,-5.1315453039393715,-12.669566221448685,8.940500913824792,User0015,1659783600,59
64,-4.74892844366525,-12.868098978687737,9.20432401803506,User0016,1659524400,60
